customer_id,age,city_tier,income_bracket,num_fds_booked,avg_fd_amount,avg_tenor_months,days_since_registration,platform_sessions,support_tickets,interest_rate_pref,last_login_days,platform_id,churned
CUST_0001,27,2,3-7L,1,40605,24,198,11,1,7.0,6,PLT_11,0
CUST_0002,28,3,3-7L,1,24647,12,395,9,0,8.0,44,PLT_10,0
CUST_0003,35,3,3-7L,1,110105,36,99,9,0,9.0,7,PLT_08,0
CUST_0004,42,2,<3L,4,158949,12,96,10,1,9.0,6,PLT_07,0
CUST_0005,48,1,3-7L,4,124618,3,105,7,0,8.5,4,PLT_10,0
CUST_0006,28,1,3-7L,4,437493,12,15,12,1,7.5,12,PLT_13,0
CUST_0007,55,1,7-15L,2,41426,6,400,9,0,9.0,12,PLT_08,0
CUST_0008,34,3,<3L,1,96496,6,366,5,0,8.0,0,PLT_04,1
CUST_0009,37,2,3-7L,1,23269,6,1000,6,0,7.5,15,PLT_14,0
CUST_0010,29,3,>15L,6,51133,3,158,9,0,8.0,23,PLT_09,0
CUST_0011,22,1,<3L,1,18363,12,250,7,1,8.5,14,PLT_05,0
CUST_0012,48,3,3-7L,3,94330,3,40,11,1,7.5,30,PLT_07,0
CUST_0013,46,3,<3L,4,45053,6,198,4,0,9.0,4,PLT_04,1
CUST_0014,34,1,7-15L,1,11571,3,188,8,0,9.0,3,PLT_01,0
CUST_0015,38,1,3-7L,2,34613,3,416,4,0,7.0,17,PLT_11,0
CUST_0016,44,1,3-7L,2,251322,6,319,9,0,9.0,3,PLT_12,0
CUST_0017,22,2,3-7L,1,83145,12,501,9,0,9.0,1,PLT_08,0
CUST_0018,31,2,>15L,3,110776,36,365,7,0,7.0,1,PLT_09,1
CUST_0019,47,2,<3L,3,66200,24,365,9,1,7.5,21,PLT_13,0
CUST_0020,22,1,<3L,2,51779,24,11,7,0,8.0,0,PLT_09,0
CUST_0021,41,2,>15L,3,60625,6,336,12,1,8.0,5,PLT_10,0
CUST_0022,22,1,3-7L,2,72863,6,168,11,1,8.5,2,PLT_14,0
CUST_0023,43,1,>15L,1,24901,3,86,7,1,8.0,21,PLT_08,0
CUST_0024,37,2,3-7L,1,110243,24,10,9,1,9.0,10,PLT_01,0
CUST_0025,22,2,7-15L,3,146893,3,203,11,2,9.0,3,PLT_03,0
CUST_0026,51,3,3-7L,4,51160,12,71,9,1,8.0,20,PLT_05,0
CUST_0027,29,1,7-15L,3,39401,6,113,8,0,8.0,20,PLT_07,0
CUST_0028,28,2,>15L,2,33073,6,206,4,0,8.0,11,PLT_12,0
CUST_0029,40,2,3-7L,3,244598,36,437,10,0,8.0,4,PLT_08,0
CUST_0030,51,1,<3L,1,41696,24,314,10,0,8.0,13,PLT_01,0
CUST_0031,25,2,3-7L,3,100977,24,107,9,2,7.5,40,PLT_05,1
CUST_0032,38,1,<3L,4,51448,12,88,11,1,7.0,0,PLT_03,0
CUST_0033,43,1,<3L,1,49271,24,49,8,0,7.5,4,PLT_07,0
CUST_0034,46,3,3-7L,4,32474,12,83,9,0,9.0,5,PLT_06,0
CUST_0035,40,3,3-7L,1,27550,36,21,10,0,7.5,14,PLT_12,1
CUST_0036,33,3,3-7L,1,108221,6,637,4,1,7.0,15,PLT_15,0
CUST_0037,28,2,3-7L,1,27055,12,153,11,0,8.0,3,PLT_01,0
CUST_0038,39,1,7-15L,2,86683,12,24,12,0,7.0,3,PLT_11,0
CUST_0039,25,2,<3L,4,64374,12,78,8,0,7.0,39,PLT_02,1
CUST_0040,22,2,<3L,5,109328,24,142,7,0,8.0,21,PLT_05,0
CUST_0041,43,1,<3L,3,36755,36,137,5,0,8.0,40,PLT_05,0
CUST_0042,48,2,3-7L,2,142075,12,7,10,0,7.0,26,PLT_01,0
CUST_0043,22,1,<3L,5,53479,12,542,8,0,8.0,7,PLT_11,0
CUST_0044,25,3,3-7L,5,476086,12,57,6,1,8.0,1,PLT_12,0
CUST_0045,45,1,3-7L,2,16459,24,7,4,1,8.0,14,PLT_12,0
CUST_0046,62,2,7-15L,2,417962,12,14,10,0,8.5,6,PLT_04,0
CUST_0047,38,2,<3L,1,54117,3,156,6,1,7.5,8,PLT_12,0
CUST_0048,29,2,7-15L,2,71556,12,26,7,0,8.0,8,PLT_09,0
CUST_0049,35,2,7-15L,4,36922,3,7,7,0,8.5,41,PLT_09,0
CUST_0050,54,1,7-15L,2,17066,24,85,11,1,9.0,1,PLT_15,0
CUST_0051,30,3,>15L,2,39233,12,175,11,0,8.5,3,PLT_05,0
CUST_0052,28,3,<3L,1,44687,12,21,5,0,8.0,14,PLT_07,1
CUST_0053,32,3,<3L,2,69302,24,67,6,0,8.0,32,PLT_11,0
CUST_0054,26,3,>15L,2,146812,3,97,6,2,8.0,37,PLT_02,1
CUST_0055,39,2,3-7L,3,69743,6,31,7,0,8.5,12,PLT_01,0
CUST_0056,57,3,3-7L,1,70722,12,126,8,1,8.5,0,PLT_15,0
CUST_0057,41,1,7-15L,2,81429,6,16,7,1,8.0,6,PLT_12,0
CUST_0058,34,1,7-15L,1,14706,12,8,9,0,7.5,37,PLT_02,1
CUST_0059,34,1,>15L,4,15835,36,132,9,1,8.0,10,PLT_15,0
