user_id,age,city_tier,income_bracket,device_type,referral_source,platform_id,registration_date,converted,max_stage_reached,max_stage_name,funnel_attempts,income_num,device_mobile,device_desktop,referral_paid,referral_partner,max_stage_idx,total_events,funnel_attempts_feat,has_reentry,session_hour_mean,session_hour_std,evening_session_ratio,weekday_ratio,time_on_landing,time_on_fd_view,time_on_details,time_on_kyc,total_time_in_funnel,avg_scroll_depth,details_max_scroll,kyc_attempts,kyc_avg_time,n_devices_used,device_switched,avg_stage_gap_sec,fastest_transition_sec,n_fds_booked,avg_fd_amount,total_fd_amount,avg_tenor,avg_rate,n_banks,income_midpoint,amount_to_income_ratio,mobile_kyc_friction,high_income_engagement,tier3_mobile,reentry_details_time,evening_details_depth,segment,segment_name
U00001,27,2,3-7L,mobile,google_ads,PLT_01,2025-05-22,0,1,fd_view,2,2,1,0,1,0,1,3,2,1,19.666666666666668,1.1547005383792517,1.0,0.6666666666666666,8.5,7.0,0.0,0.0,24,42.333333333333336,0.0,0,0.0,2,1,82806.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,0,0.0,0.0,0,🟡 Hesitant Comparers
U00002,28,3,3-7L,mobile,google_ads,PLT_04,2025-04-22,0,2,details,3,2,1,0,1,0,2,7,3,1,20.142857142857142,1.0690449676496976,1.0,0.8571428571428571,57.333333333333336,35.0,53.0,0.0,348,47.457142857142856,79.9,0,0.0,2,1,115206.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,1,53.0,79.9,1,🟢 High-Value Converters
U00003,35,3,3-7L,mobile,google_ads,PLT_03,2024-12-01,0,0,landing,1,2,1,0,1,0,0,1,1,0,6.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46,61.3,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,1,0.0,0.0,0,🟡 Hesitant Comparers
U00004,42,2,<3L,mobile,direct,PLT_06,2025-05-13,1,4,deposit,2,1,1,0,0,0,4,8,2,1,4.625,0.5175491695067655,0.0,1.0,75.5,44.0,93.5,28.0,465,54.825,84.7,1,28.0,1,0,11830.714285714286,4.0,1.0,81711.0,81711.0,6.0,8.94,1.0,150000,0.54474,1,0,0,93.5,0.0,1,🟢 High-Value Converters
U00005,48,1,3-7L,mobile,organic,PLT_09,2025-01-27,0,1,fd_view,1,2,1,0,0,0,1,2,1,0,17.0,0.0,0.0,1.0,16.0,7.0,0.0,0.0,23,33.0,0.0,0,0.0,1,0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,0,0.0,0.0,0,🟡 Hesitant Comparers
U00006,28,1,3-7L,desktop,social_media,PLT_09,2024-08-06,1,4,deposit,2,2,0,1,1,0,4,6,2,1,4.333333333333333,0.8164965809277261,0.0,0.16666666666666666,36.0,78.0,11.0,23.0,214,41.63333333333333,62.9,1,23.0,1,0,15861.8,4.0,1.0,30264.0,30264.0,36.0,7.93,1.0,500000,0.060528,0,0,0,11.0,0.0,2,🔵 Exploring Newcomers
U00007,55,1,7-15L,desktop,organic,PLT_07,2025-01-16,1,4,deposit,1,3,0,1,0,0,4,5,1,0,17.0,0.0,0.0,1.0,30.0,147.0,64.0,192.0,477,59.54,49.8,1,192.0,1,0,19.0,2.0,2.0,79445.0,158890.0,18.0,7.37,2.0,1100000,0.07222272727272727,0,477,0,0.0,0.0,2,🔵 Exploring Newcomers
U00008,34,3,<3L,tablet,partner_referral,PLT_15,2024-11-14,1,4,deposit,3,1,0,0,0,1,4,11,3,1,13.454545454545455,10.966892325208963,0.0,1.0,14.0,50.0,40.5,57.0,477,53.154545454545456,88.1,2,57.0,2,1,51846.3,5.0,1.0,59317.0,59317.0,24.0,8.94,1.0,150000,0.39544666666666667,0,0,0,40.5,0.0,1,🟢 High-Value Converters
U00009,37,2,3-7L,desktop,direct,PLT_12,2025-05-19,0,0,landing,1,2,0,1,0,0,0,1,1,0,5.0,0.0,0.0,1.0,39.0,0.0,0.0,0.0,39,27.6,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00010,29,3,>15L,desktop,google_ads,PLT_09,2025-04-28,1,4,deposit,1,4,0,1,1,0,4,5,1,0,18.0,0.0,1.0,1.0,21.0,27.0,60.0,71.0,191,74.9,85.3,1,71.0,1,0,18.0,2.0,5.0,147660.4,738302.0,10.8,7.758,5.0,2000000,0.0738302,0,191,0,0.0,85.3,2,🔵 Exploring Newcomers
