user_id,timestamp,stage,attempt_number,time_on_stage_seconds,page_scroll_depth,device_type,hour_of_day,is_weekday,referral_source
U00001,2025-07-27 21:10:00,landing,1,5,48.5,mobile,21,0,google_ads
U00001,2025-07-29 19:10:00,landing,2,12,55.2,desktop,19,1,google_ads
U00001,2025-07-29 19:10:13,fd_view,2,7,23.3,mobile,19,1,google_ads
U00002,2025-07-27 21:20:00,landing,1,115,26.0,mobile,21,0,google_ads
U00002,2025-07-31 19:20:00,landing,2,51,21.6,mobile,19,1,google_ads
U00002,2025-07-31 19:20:20,fd_view,2,3,77.6,mobile,19,1,google_ads
U00002,2025-07-31 19:20:22,details,2,100,79.9,mobile,19,1,google_ads
U00002,2025-08-04 21:20:00,landing,3,6,5.0,mobile,21,1,google_ads
U00002,2025-08-04 21:20:14,fd_view,3,67,62.6,mobile,21,1,google_ads
U00002,2025-08-04 21:20:39,details,3,6,59.5,desktop,21,1,google_ads
U00003,2025-07-27 06:50:00,landing,1,46,61.3,mobile,6,0,google_ads
U00004,2025-07-16 05:25:00,landing,1,131,6.8,mobile,5,1,direct
U00004,2025-07-16 05:25:10,fd_view,1,17,58.6,mobile,5,1,direct
U00004,2025-07-16 05:25:30,details,1,10,84.7,mobile,5,1,direct
U00004,2025-07-16 05:26:06,kyc,1,28,70.4,mobile,5,1,direct
U00004,2025-07-16 05:26:33,deposit,1,11,91.6,mobile,5,1,direct
U00004,2025-07-17 04:25:00,landing,2,20,36.5,mobile,4,1,direct
U00004,2025-07-17 04:25:11,fd_view,2,71,52.2,mobile,4,1,direct
U00004,2025-07-17 04:25:15,details,2,177,37.8,mobile,4,1,direct
U00005,2025-07-30 17:50:00,landing,1,16,14.8,mobile,17,1,organic
U00005,2025-07-30 17:50:15,fd_view,1,7,51.2,mobile,17,1,organic
U00006,2025-07-18 06:31:00,landing,1,6,36.5,desktop,6,1,social_media
U00006,2025-07-19 04:31:00,landing,2,66,21.5,desktop,4,0,social_media
U00006,2025-07-19 04:31:18,fd_view,2,78,46.2,desktop,4,0,social_media
U00006,2025-07-19 04:31:22,details,2,11,62.9,desktop,4,0,social_media
U00006,2025-07-19 04:31:52,kyc,2,23,42.0,desktop,4,0,social_media
U00006,2025-07-19 04:32:49,deposit,2,30,40.7,desktop,4,0,social_media
U00007,2025-07-03 17:49:00,landing,1,30,27.8,desktop,17,1,organic
U00007,2025-07-03 17:49:07,fd_view,1,147,51.1,desktop,17,1,organic
U00007,2025-07-03 17:49:39,details,1,64,49.8,desktop,17,1,organic
U00007,2025-07-03 17:49:41,kyc,1,192,77.4,desktop,17,1,organic
U00007,2025-07-03 17:50:16,deposit,1,44,91.6,desktop,17,1,organic
U00008,2025-07-08 23:41:00,landing,1,5,15.6,tablet,23,1,partner_referral
U00008,2025-07-11 02:41:00,landing,2,29,52.6,tablet,2,1,partner_referral
U00008,2025-07-11 02:41:05,fd_view,2,20,24.9,tablet,2,1,partner_referral
U00008,2025-07-11 02:41:50,details,2,4,38.4,tablet,2,1,partner_referral
U00008,2025-07-11 02:41:45,kyc,2,5,60.5,tablet,2,1,partner_referral
U00008,2025-07-11 02:42:12,deposit,2,134,41.3,mobile,2,1,partner_referral
U00008,2025-07-14 23:41:00,landing,3,8,53.2,tablet,23,1,partner_referral
U00008,2025-07-14 23:41:25,fd_view,3,80,58.8,tablet,23,1,partner_referral
U00008,2025-07-14 23:41:14,details,3,77,88.1,tablet,23,1,partner_referral
U00008,2025-07-14 23:42:03,kyc,3,109,78.6,tablet,23,1,partner_referral
U00008,2025-07-14 23:41:46,deposit,3,6,72.7,tablet,23,1,partner_referral
U00009,2025-07-09 05:57:00,landing,1,39,27.6,desktop,5,1,direct
U00010,2025-07-21 18:37:00,landing,1,21,74.1,desktop,18,1,google_ads
U00010,2025-07-21 18:37:05,fd_view,1,27,97.3,desktop,18,1,google_ads
U00010,2025-07-21 18:37:32,details,1,60,85.3,desktop,18,1,google_ads
U00010,2025-07-21 18:37:34,kyc,1,71,97.6,desktop,18,1,google_ads
U00010,2025-07-21 18:38:12,deposit,1,12,20.2,desktop,18,1,google_ads
U00011,2025-07-22 06:16:00,landing,1,55,91.1,mobile,6,1,organic
U00011,2025-07-22 06:16:19,fd_view,1,20,90.1,mobile,6,1,organic
U00012,2025-07-18 19:46:00,landing,1,24,80.7,desktop,19,1,social_media
U00012,2025-07-18 19:46:09,fd_view,1,10,43.3,desktop,19,1,social_media
U00013,2025-07-24 19:49:00,landing,1,18,16.1,desktop,19,1,social_media
