user_id,age,city_tier,income_bracket,device_type,referral_source,platform_id,registration_date,converted,max_stage_reached,max_stage_name,funnel_attempts
U00001,27,2,3-7L,mobile,google_ads,PLT_01,2025-05-22,0,1,fd_view,2
U00002,28,3,3-7L,mobile,google_ads,PLT_04,2025-04-22,0,2,details,3
U00003,35,3,3-7L,mobile,google_ads,PLT_03,2024-12-01,0,0,landing,1
U00004,42,2,<3L,mobile,direct,PLT_06,2025-05-13,1,4,deposit,2
U00005,48,1,3-7L,mobile,organic,PLT_09,2025-01-27,0,1,fd_view,1
U00006,28,1,3-7L,desktop,social_media,PLT_09,2024-08-06,1,4,deposit,2
U00007,55,1,7-15L,desktop,organic,PLT_07,2025-01-16,1,4,deposit,1
U00008,34,3,<3L,tablet,partner_referral,PLT_15,2024-11-14,1,4,deposit,3
U00009,37,2,3-7L,desktop,direct,PLT_12,2025-05-19,0,0,landing,1
U00010,29,3,>15L,desktop,google_ads,PLT_09,2025-04-28,1,4,deposit,1
U00011,22,1,<3L,mobile,organic,PLT_08,2024-09-05,0,1,fd_view,1
U00012,48,3,3-7L,desktop,social_media,PLT_05,2025-01-02,0,1,fd_view,1
U00013,46,3,<3L,desktop,social_media,PLT_09,2025-01-30,0,1,fd_view,1
U00014,34,1,7-15L,desktop,social_media,PLT_14,2025-01-22,0,2,details,3
U00015,38,1,3-7L,mobile,google_ads,PLT_07,2025-03-29,1,4,deposit,3
U00016,44,1,3-7L,mobile,google_ads,PLT_05,2025-05-27,0,2,details,2
U00017,22,2,3-7L,desktop,direct,PLT_15,2024-11-29,0,0,landing,1
U00018,31,2,>15L,desktop,direct,PLT_08,2025-01-16,0,1,fd_view,1
U00019,47,2,<3L,tablet,google_ads,PLT_15,2025-03-17,0,3,kyc,1
U00020,22,1,<3L,mobile,social_media,PLT_07,2024-08-29,0,0,landing,1
U00021,41,2,>15L,mobile,google_ads,PLT_09,2025-04-13,1,4,deposit,1
U00022,22,1,3-7L,mobile,google_ads,PLT_10,2025-04-21,0,3,kyc,3
U00023,43,1,>15L,desktop,organic,PLT_01,2024-09-27,1,4,deposit,3
U00024,37,2,3-7L,mobile,google_ads,PLT_15,2024-11-22,1,4,deposit,2
U00025,22,2,7-15L,mobile,partner_referral,PLT_13,2025-03-07,0,2,details,3
U00026,51,3,3-7L,tablet,organic,PLT_09,2025-05-16,0,0,landing,2
